Ad,name,anothername,parentPac,level,pac,dpac
110114120000,延寿镇,延寿,110114000000,5,110114120000,110114120000
110115001000,兴丰街道,兴丰,110115000000,5,110115001000,110115001000
110115002000,林校路街道,林校路,110115000000,5,110115002000,110115002000
110115003000,清源街道,清源,110115000000,5,110115003000,110115003000
110115004000,亦庄地区,亦庄,110115000000,5,110115004000,110115004000
110115005000,黄村地区,黄村,110115000000,5,110115005000,110115005000
110115006000,旧宫地区,旧宫,110115000000,5,110115006000,110115006000
110115007000,西红门地区,西红门,110115000000,5,110115007000,110115007000
110115008000,瀛海地区,瀛海,110115000000,5,110115008000,110115008000
110115009000,观音寺街道,观音寺,110115000000,5,110115009000,110115009000
110115010000,天宫院街道,天宫院,110115000000,5,110115010000,110115010000
110115011000,高米店街道,高米店,110115000000,5,110115011000,110115011000
110115012000,荣华街道,荣华,110115000000,5,110115012000,110115012000
110115013000,博兴街道,博兴,110115000000,5,110115013000,110115013000
110115103000,青云店镇,青云店,110115000000,5,110115103000,110115103000
110115104000,采育镇,采育,110115000000,5,110115104000,110115104000
110115105000,安定镇,安定,110115000000,5,110115105000,110115105000
110115106000,礼贤镇,礼贤,110115000000,5,110115106000,110115106000
110115107000,榆垡镇,榆垡,110115000000,5,110115107000,110115107000
110115108000,庞各庄镇,庞各庄,110115000000,5,110115108000,110115108000
110115109000,北臧村镇,北臧村,110115000000,5,110115109000,110115109000
110115110000,魏善庄镇,魏善庄,110115000000,5,110115110000,110115110000
110115111000,长子营镇,长子营,110115000000,5,110115111000,110115111000
110115403000,北京经济技术开发区,北京经开区,110115000000,5,110115403000,110115403000
110115404000,中关村国家自主创新示范区大兴生物医药产业基地,生物医药基地,110115000000,5,110115404000,110115404000
110115405000,国家新媒体产业基地,新媒体产业基地,110115000000,5,110115405000,110115405000
110115406000,大兴国际机场,大兴机场,110115000000,5,110115406000,110115406000
110116001000,泉河街道,泉河,110116000000,5,110116001000,110116001000
110116002000,龙山街道,龙山,110116000000,5,110116002000,110116002000
110116003000,怀柔地区,怀柔,110116000000,5,110116003000,110116003000
110116004000,雁栖地区,雁栖,110116000000,5,110116004000,110116004000
110116005000,庙城地区,庙城,110116000000,5,110116005000,110116005000
110116102000,北房镇,北房,110116000000,5,110116102000,110116102000
110116103000,杨宋镇,杨宋,110116000000,5,110116103000,110116103000
110116105000,桥梓镇,桥梓,110116000000,5,110116105000,110116105000
110116106000,怀北镇,怀北,110116000000,5,110116106000,110116106000
110116107000,汤河口镇,汤河口,110116000000,5,110116107000,110116107000
110116108000,渤海镇,渤海,110116000000,5,110116108000,110116108000
110116109000,九渡河镇,九渡河,110116000000,5,110116109000,110116109000
110116110000,琉璃庙镇,琉璃庙,110116000000,5,110116110000,110116110000
110116111000,宝山镇,宝山,110116000000,5,110116111000,110116111000
110116211000,长哨营满族乡,长哨营,110116000000,5,110116211000,110116211000
110116213000,喇叭沟门满族乡,喇叭沟门,110116000000,5,110116213000,110116213000
110116400000,北京雁栖经济开发区,雁栖经开区,110116000000,5,110116400000,110116400000
110117001000,滨河街道,滨河,110117000000,5,110117001000,110117001000
110117002000,兴谷街道,兴谷,110117000000,5,110117002000,110117002000
110117003000,渔阳地区,渔阳,110117000000,5,110117003000,110117003000
110117004000,峪口地区,峪口,110117000000,5,110117004000,110117004000
110117005000,马坊地区,马坊,110117000000,5,110117005000,110117005000
110117006000,金海湖地区,金海湖,110117000000,5,110117006000,110117006000
110117101000,东高村镇,东高村,110117000000,5,110117101000,110117101000
110117102000,山东庄镇,山东庄,110117000000,5,110117102000,110117102000
110117104000,南独乐河镇,南独乐河,110117000000,5,110117104000,110117104000
110117105000,大华山镇,大华山,110117000000,5,110117105000,110117105000
110117106000,夏各庄镇,夏各庄,110117000000,5,110117106000,110117106000
110117108000,马昌营镇,马昌营,110117000000,5,110117108000,110117108000
110117110000,王辛庄镇,王辛庄,110117000000,5,110117110000,110117110000
110117111000,大兴庄镇,大兴庄,110117000000,5,110117111000,110117111000
110117112000,刘家店镇,刘家店,110117000000,5,110117112000,110117112000
110117114000,镇罗营镇,罗营,110117000000,5,110117114000,110117114000
110117213000,黄松峪乡,黄松峪,110117000000,5,110117213000,110117213000
110117214000,熊儿寨乡,熊儿寨,110117000000,5,110117214000,110117214000
110118001000,鼓楼街道,鼓楼,110118000000,5,110118001000,110118001000
110118002000,果园街道,果园,110118000000,5,110118002000,110118002000
110118003000,檀营地区,檀营,110118000000,5,110118003000,110118003000
110118100000,密云镇,密云,110118000000,5,110118100000,110118100000
110118101000,溪翁庄镇,溪翁庄,110118000000,5,110118101000,110118101000
110118102000,西田各庄镇,西田各庄,110118000000,5,110118102000,110118102000
